mispar_mosah|shem_mosah|cod_sug_mosah|sug_mosah|ktovet|yishuv|telephone|mikud|cod_miktzoa|miktzoa|menahel_miktzoa|rasham_havarot
"16"|"נירים מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"נירים"|"054-7916219"|"85125"|"10"|"מכונאות רכב בנזין"|"אליהו ציון"|"570005926"
"16"|"נירים מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"נירים"|"054-7916219"|"85125"|"20"|"מכונאות רכב דיזל"|"אליהו ציון"|"570005926"
"16"|"נירים מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"נירים"|"054-7916219"|"85125"|"190"|"טרקטורים ומכונות ניידות"|"אליהו ציון"|"570005926"
"16"|"נירים מוסך הקבוץ"|"6"|"מוסך מורשה"|"ד.נ. הנגב"|"נירים"|"054-7916219"|"85125"|"194"|"תיקון מלגזות הרמה"|"אליהו ציון"|"570005926"
"23"|"קבוץ רביבים"|"6"|"מוסך מורשה"|"ד.נ. חלוצה"|"רביבים"|"08-6562541"|"85515"|"10"|"מכונאות רכב בנזין"|"בן יוסף יאיר"|"057000358"
"23"|"קבוץ רביבים"|"6"|"מוסך מורשה"|"ד.נ. חלוצה"|"רביבים"|"08-6562541"|"85515"|"20"|"מכונאות רכב דיזל"|"בן יוסף יאיר"|"057000358"
"23"|"קבוץ רביבים"|"6"|"מוסך מורשה"|"ד.נ. חלוצה"|"רביבים"|"08-6562541"|"85515"|"190"|"טרקטורים ומכונות ניידות"|"בן יוסף יאיר"|"057000358"
"23"|"קבוץ רביבים"|"6"|"מוסך מורשה"|"ד.נ. חלוצה"|"רביבים"|"08-6562541"|"85515"|"194"|"תיקון מלגזות הרמה"|"בן יוסף יאיר"|"057000358"
"27"|"עמליה שרון - מוסך רוממה ירושלים"|"6"|"מוסך מורשה"|"ג. שאול מרכז ספיר 6"|"ירושלים"|"02-6516060"|"94341"|"10"|"מכונאות רכב בנזין"|"שרון עופר"|"000910042"
"27"|"עמליה שרון - מוסך רוממה ירושלים"|"6"|"מוסך מורשה"|"ג. שאול מרכז ספיר 6"|"ירושלים"|"02-6516060"|"94341"|"143"|"רפידות ותופי בלם"|"שרון עופר"|"000910042"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"10"|"מכונאות רכב בנזין"|"דהרי מנחם"|"570037424"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"20"|"מכונאות רכב דיזל"|"דהרי מנחם"|"570037424"
"43"|"מוסך ויזמות א.ש.חקלאית בע מ"|"3"|"מוסך רישוי לציוד חקלאי"|"ד.נ.  חוף אשקלון"|"זיקים"|"08-6746416"|"79140"|"130"|"תיקון והחלפת צמיגים"|"דהרי מנחם"|"570037424"
