"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","YQ4gaf src","gqguwf","gqguwf 2"
"ליאור אילוק | תקליטן לחתונה | די ג'יי לחתונה | DJ","· תקליטן","5.0","(49)","מעל 10 שנות פעילות · ירושלים ·","054-791-0353","פתוח 24 שעות","https://lioriluk.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"דיג'יי תומר אלזם - מוזיקה לאירועים (תקליטן דתי)","אין ביקורות · תקליטן","","","052-716-5052","פתוח ⋅ ייסגר בשעה 22:00","","https://website-2343199183867931836145-dj.business.site/?utm_source=gmb&utm_medium=referral","אתר","","","","","","","",""
"די ג'יי ליאור אילוק - תקליטן במודיעין לחתונה l לאירוע","· תקליטן","5.0","(4)","054-791-0353","מעל 5 שנות פעילות ·","פתוח 24 שעות","https://lioriluk.business.site/","אתר","","","","","","","",""
"תמי קליין - DJ והפעלת אירועים","· מתכנן אירועים","5.0","(4)","054-846-1616","מעל 3 שנות פעילות · ירושלים ·","פתוח ⋅ ייסגר בשעה 0:00","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","תמי קליין - DJ והפעלת אירועים","5.0","(4)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""מפעילת אירועים נהדרת שמחה ומקפיצה הרימה לנו אירוע אדיר""",""
"די ג׳יי איציק גודדי - Dj Itzik Goodady","· תקליטן","5.0","(3)","052-267-9907","ירושלים ·","","https://www.djgoodady.com/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"אופיר כהן מוסיקה לאירועים","· תקליטן","5.0","(1)","052-997-4040","מעל 15 שנות פעילות ·","","","","","","","","","","",""
"די ג׳יי מנשה - DJ - תקליטן","· תקליטן","4.9","(8)","050-818-3001","מעל 7 שנות פעילות ·","פתוח 24 שעות","","","","","","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""דיגיי מנשה הגיע  ופשוט לא יכולנו להפסיק לרקוד!""","לאירוע"
"תקליטן בירושלים","· תקליטן","5.0","(4)","052-897-2727","מעל 7 שנות פעילות · ירושלים ·","⋅ ייפתח ביום יום ה׳ בשעה 0:00","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","תקליטן בירושלים","5.0","(4)","","",""
"אינקוגניטו מוסיקה (2002) בע""מ","· תקליטן","5.0","(2)","1-800-283-283","מעל 10 שנות פעילות · ירושלים ·","","","","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","אינקוגניטו מוסיקה (2002) בע""מ","5.0","(2)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""עומרי יודע לנתח את הטעם המוזיקאלי של לקוחותיו, ולתת מענה אישי רלוונטי.""",""
"הריסון ותזמורתו | נגן לבר מצווה | Dj | נגן אירועים - One man band","· הפקה מוזיקלית","5.0","(6)","052-688-8710","ירושלים ·","","https://www.harrison.co.il/","אתר","https://www.google.com/search?q=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzV7GQN21zVehgZZAlSqlAYDi7yDVg%3A1674040606553&ei=HtXHY4qkIfmrkdUPqLqK0AE&ved=0ahUKEwiKq8Wd_9D8AhX5VaQEHSidAhoQ4dUDCAk&uact=5&oq=DJ+%D7%9C%D7%90%D7%99%D7%A8%D7%95%D7%A2&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMggIABAWEB4QDzIICAAQFhAeEA8yAggmMgIIJjoECCMQJzoECAAQHjoLCAAQgAQQsQMQgwE6CAgAEIAEELEDOgcIABCABBANUO0KWK4iYN4jaAJwAHgBgAGDAogBoxOSAQYwLjEuMTCYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","הריסון ותזמורתו | נגן לבר מצווה | Dj | נגן אירועים - One man band","5.0","(6)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""הכתובת הנכונה  שלנו כבר שנים!""","לאירועים"
