"vzRMeAg4Oi8__kl-trunc-name","OSrXXb","rllt__details","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","yi40Hd","RDApEe","YQ4gaf src","gqguwf"
"מור גוטמן - איפור ושיער לכלות ואירועים","מור גוטמן - איפור ושיער לכלות ואירועים","אין ביקורות · חנות כלות","שמואל הנגיד 15 ·","052-432-6611","פתוח ⋅ ייסגר בשעה 19:00","https://www.facebook.com/makeupbymorgutman/","אתר","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"ספיר גולדברג - איפור כלות וערב","ספיר גולדברג - איפור כלות וערב","· מכון יופי","ארזי הבירה 46 ·","052-716-0119","פתוח ⋅ ייסגר בשעה 22:00","https://sapirgoldberg.com/","אתר","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","4.9","(16)","4.9","(16)","",""
"Manue B Makeup איפור כלות","Manue B Makeup איפור כלות","אין ביקורות","מקור חיים 39 ·","053-769-1585","פתוח ⋅ ייסגר בשעה 20:00","https://www.instagram.com/manuebmakeup","אתר","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"","מרים מורסיאנו - איפור מקצועי","אין ביקורות · מכון יופי","פתוח ⋅ ייסגר בשעה 23:00","052-765-3870","","https://makeupmiriamm.wixsite.com/makeupmiriam","אתר","","","","","","","",""
"הילה חדאד - מאפרת כלות וערב | Hila Hadad - Bridal makeup and events‏","הילה חדאד - מאפרת כלות וערב | Hila Hadad - Bridal makeup and events‏","אין ביקורות · בעל סלון יופי וקוסמטיקה","אררט 3/6 ·","052-303-0015","","","","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"אור-אלי מאפרת Aurelie make up artist","אור-אלי מאפרת Aurelie make up artist","· מכון יופי","הרב יצחק אבוהב 7/דירה 8 ·","050-876-5765","פתוח 24 שעות","https://www.facebook.com/makeupbridalisrael/","אתר","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","5.0","(27)","5.0","(27)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""אז אם גם את רוצה איפור ברמה גבוהה - הכתובת היא אוראלי!"""
"אריאל איפור כלות וערב","אריאל איפור כלות וערב","אין ביקורות · מכון יופי","נהוראי 7 ·","052-597-1376","פתוח ⋅ ייסגר בשעה 16:00","","","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"אלמוג בן אומנות האיפור","אלמוג בן אומנות האיפור","אין ביקורות","רחוב דניאל ינובסקי 15 ·","052-802-1577","פתוח ⋅ ייסגר בשעה 20:00","https://almogbenmakeup123.business.site/?utm_source=gmb&utm_medium=referral","אתר","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
"","מירית גבריאל מאפרת - איפור כלות וערב","· מכון יופי","פתוח ⋅ ייסגר בשעה 21:00","052-520-2043","","https://www.instagram.com/mirit_gavriel_makeup/","אתר","","","","","5.0","(28)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""תמיד יוצאת עם ההרגשה הכי טובה ועם איפור שלא מפסיק לגרוף מחמאות!"""
"זהבה המר איפור כלות אופנה וערב","זהבה המר איפור כלות אופנה וערב","אין ביקורות · בעל סלון יופי וקוסמטיקה","הרב בלוי 10 ·","058-323-3646","פתוח ⋅ ייסגר בשעה 22:00","https://www.b144.co.il/B144_sip/4A1404134470655D4C1C0711477363594C.aspx","אתר","https://www.google.com/search?q=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzUyD8AFihiKX0vYkeLVQqV4dgR7fg%3A1674041122442&ei=ItfHY9uAGpjW5OUPiOKh2AY&ved=0ahUKEwjbmcSTgdH8AhUYK7kGHQhxCGsQ4dUDCAk&uact=5&oq=%D7%90%D7%99%D7%A4%D7%95%D7%A8+%D7%9B%D7%9C%D7%95%D7%AA&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIFCAAQgAQyBQgAEIAEMgUIABCABDIGCAAQFhAeMgYIABAWEB46BAgAEEM6CAgAEBYQHhAPOgQIIxAnOgsIABCABBCxAxCDAToICAAQsQMQgwE6CggAELEDEIMBEEM6CggAEIAEELEDEAo6BwgAEIAEEAo6BwgAELEDEENQvAdY7xFg7RJoAHAAeACAAZIDiAHPF5IBBzItOS4yLjGYAQCgAQHAAQE&sclient=gws-wiz-local#","מסלול","","","","","",""
