"vzRMeAg4Oi8__kl-trunc-name","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","YQ4gaf src","gqguwf"
"סטודיו צילום אופנה ליאור קסון","5.0","(6)","סטודיו צילום אופנה ליאור קסון","· סטודיו לצילום","5.0","(6)","תל אביב ·","050-594-0935","פתוח ⋅ ייסגר בשעה 19:00","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwir-_yA2tD8AhVWxNUKHT1GC0MYABAHGgJ3cw&ohost=www.google.com&cid=CAESbeD2amh-XWMxKD3mupdTBtbnm2B2nKl46Py2YddPVxsnrjfu1FqCXAvFYGto9aUKgaeQrhcQVjXFkBkKh-Q9M4d0W2qA24M4bYJ894wRm4aWWL2HN84-q3P6tR5kXO1AEuUncvCXdaMKif6tpaQ&sig=AOD64_2jHcDjg_Q8q03JS8q-rTyI3eAMwg&q=&ctype=99&ved=2ahUKEwjct_aA2tD8AhVXU6QEHf0bCuIQhKwBegQIBhAV&adurl=","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"מנדי הכטמן | צלם חתונות אמנותי | אירועי יוקרה | הפקות ענק","5.0","(92)","מנדי הכטמן | צלם חתונות אמנותי | אירועי יוקרה | הפקות ענק","· צלם","5.0","(92)","מעל 10 שנות פעילות · ירושלים ·","052-790-4008","פתוח 24 שעות","https://mendyhechtman.pixieset.com/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""מנדי צילם אותנו לאירןע בר המצווה של בנינו."""
"צלם בר מצווה בכותל","5.0","(23)","צלם בר מצווה בכותל","· צלם","5.0","(23)","מעל 7 שנות פעילות · ירושלים ·","052-392-5212","פתוח 24 שעות","http://www.photojone.co.il/","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"מגנטים לאירועים","4.7","(15)","מגנטים לאירועים","· צלם","4.7","(15)","מעל 5 שנות פעילות · ירושלים ·","055-885-4325","פתוח 24 שעות","https://shimonohana.wixsite.com/shimono","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""נחמן היה נעים, אדיב ומקצועי."""
"מגנטים לאירועים","","","מגנטים לאירועים","אין ביקורות · צלם","","","מעל 3 שנות פעילות · ירושלים ·","055-885-4325","","https://shimonohana.wixsite.com/shimono","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
"","","","מגנט הגוש","· שירות צילום","5.0","(22)","","058-460-8050","","http://qwixite.com/","אתר","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""לקחנו אותו כצלם יחיד לבת מצווה, בעיקר מגנטים וגם סטילס."""
"","","","מיסטר מגנט צלם מגנטים - צילום סטילס - וידאו לאירועים","· צלם","5.0","(156)","מעל 10 שנות פעילות ·","054-656-9691","פתוח 24 שעות","https://www.facebook.com/MrMagnetIL/","אתר","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""ניצן הצלם מגנטים הכי קסום שתפגשו!!!"""
"","","","צלם מגנטים לאירועים","· צלם","5.0","(21)","מעל 5 שנות פעילות ·","058-666-8060","פתוח 24 שעות","https://smagnetim.co.il/","אתר","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""כמות אדירה של מגנטים ודיסק און קיי מלא בתמונות."""
"","","","צלם מגנטים - צלם סטילס - צלם וידאו - פוטופ","· צלם","5.0","(8)","מעל 7 שנות פעילות ·","052-674-8753","פתוח 24 שעות","http://photop.top/","אתר","","","",""
"צלם מגנטים בירושלים","","","צלם מגנטים בירושלים","אין ביקורות · צלם","","","מעל 5 שנות פעילות · ירושלים ·","055-885-4325","פתוח 24 שעות","https://shimonohana.wixsite.com/photographer","אתר","https://www.google.com/search?q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&rlz=1C1GCEB_enIL1036IL1036&biw=1920&bih=608&tbm=lcl&sxsrf=AJOqlzXGAxZCaTLLUjCjpS4bSt1nSp_Fpg%3A1674030576005&ei=763HY9n-PJjHkdUPv72lgAE&ved=0ahUKEwiZss3u2dD8AhWYY6QEHb9eCRAQ4dUDCAk&uact=5&oq=%D7%A6%D7%9C%D7%9E%D7%99+%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D&gs_lcp=Cg1nd3Mtd2l6LWxvY2FsEAMyBAgjECcyBQgAEIAEMgUIABCABDIFCAAQgAQyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB5QAFgAYN8FaABwAHgAgAHoAYgB6AGSAQMyLTGYAQDAAQE&sclient=gws-wiz-local#","מסלול","",""
