"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","vzRMeAg4Oi8__kl-trunc-name","rllt__details 4","sBhnyP5sXkG__rtng","sBhnyP5sXkG__number-of-reviews","YQ4gaf src","gqguwf"
"שרון גבאי - צלם","· צלם","5.0","(89)","ירושלים ·","054-200-0300","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjk5LT11tD8AhUvkGgJHbOnCeoYABAAGgJ3Zg&ohost=www.google.com&cid=CAESbeD2xiu9FZHh01450ls8JX_vFtAL8v7VY4hANJD0DH-Df4SzOWJWiYSZ_IrpU74zDGSUA7uX3HO84cYnaF1w4TAZhH3ITwBLrfmhrNJqo9Xu9OcYbxpOhjlEl6aY5JsGy2_9QCJpI1xJRo2TSYY&sig=AOD64_2bIZcXT6QGv8iTmhcYJm0JJnQTYw&q=&ctype=99&ved=2ahUKEwiS4K711tD8AhXCVaQEHdOdBcoQhKwBegQIBBAU&adurl=","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","תהילה משכן","צלם","","","",""
"מנדי הכטמן | צלם חתונות אמנותי | אירועי יוקרה | הפקות ענק","· צלם","5.0","(92)","מעל 10 שנות פעילות · ירושלים ·","052-790-4008","https://mendyhechtman.pixieset.com/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","מנדי הכטמן | צלם חתונות אמנותי | אירועי יוקרה | הפקות ענק","פתוח 24 שעות","5.0","(92)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""צלם מקצועי ומוכשר
עם ידי זהב"""
"צלם בר מצווה בכותל","· צלם","5.0","(23)","מעל 7 שנות פעילות · ירושלים ·","052-392-5212","http://www.photojone.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","צלם בר מצווה בכותל","פתוח 24 שעות","5.0","(23)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים:"
"צילום אירועים בירושלים - ABROLL","· צלם חתונות","5.0","(24)","מעל 5 שנות פעילות ·","050-244-4888","","","","","","המקום סגור","","","",""
"דור מלכה צלם חתונות ותדמית - וידיאו וסטילס","· שירות צילום","5.0","(36)","","050-851-0813","https://dor-malka.co.il/","אתר","","","","","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""ממליץ בחום כבר שתי אירועים סגרנו איתו וכל פעם יותר מרוצים!!"""
"מאיר אליפור צלם Meir Elipur Photographer","· צלם","5.0","(22)","מעל 7 שנות פעילות ·","052-267-7177","http://www.elipur.co.il/","אתר","","","","פתוח ⋅ ייסגר בשעה 19:00","","","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים:"
"סוכנות צילום - שמואל כהן","· צלם","4.9","(144)","מעל 10 שנות פעילות · ירושלים ·","02-624-3333","http://www.photoagency.co.il/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","סוכנות צילום - שמואל כהן","פתוח ⋅ ייסגר בשעה 15:00","4.9","(144)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""מודים לך על זה שתפסת את הרגעים הכי יפים ביום המאושר בחיינו!"""
"פוטוס סטודיו בע""מ","· צלם חתונות","4.3","(12)","מעל 10 שנות פעילות · ירושלים ·","02-537-7556","","","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","פוטוס סטודיו בע""מ","","4.3","(12)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""והחיוך על חשבון הבית

מומלץ"""
"פוליש וניקיון בירושלים דיימונד ניקיון ופוליש","· צלם חתונות","4.9","(53)","מעל 10 שנות פעילות · ירושלים ·","050-922-2392","https://www.d.co.il/h-c32280-e0-p0-l0-city3000/","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","פוליש וניקיון בירושלים דיימונד ניקיון ופוליש","פתוח 24 שעות","4.9","(53)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAoCAMAAAC7IEhfAAAAflBMVEVHcEzs8v/b6P/a5//V5P+91f+jxP+gw/+hxP+ox//B1//X5P/4+v/M3v/Q4f/9/f/u9P+ty/+xzf/z9/+jxv+yzf+81P+avv13ne9PfOM5bt+BpvIyat4+cd9DdOCStvmIrfVeiOdslOuTtf+Qsv+HrP+NsP+4zv9Tg/Kpw/9P6VkYAAAAKnRSTlMAJUtjcbD2///qplcQin4ELNzPHv/OtP///////////////9rPsKlt8ITWgCk1AAABgUlEQVR4AX2VBZLDMAwAw1LK4AsYAoft/z94obHk0BaGdkQmb44fhFEUBr63SxgngD0A6eG4ZZ3OCTAQ08t1zYtIs6ThMlwMqxxmQW932ODxdLwUNrkz88TioRhAsHxQ9gwsIi9KKcsiF6xO2y/zlDZVh9GKmeGUOCGv0NWELshMx+RnsNTW68ya6rz03pUFLCtGyUL2YgiWXHNR5xTy6LSMjeSibNBpPCFRuaJCnvsGexEtT+/IxO0aIeDTBtEa8kwrgM/8AgTO50hEjghCWZPWcBIjcMzGyC5999d0npP6CA6Iqi3LViGCQ2DHQyrbjnw8XjKLOIqziKm7azunborPjkLVKNDduyFpTSulNANS6laBoE1B20yoqmuY0cnFVEHKNi62slogy3wwL3QU+OoxTIV0FPqZY6MXEu21kI4rFmZdNJ8CDuwCEDvix5VfKdvi3b18vrbEb+51nH7Wxd/lXfr3Wmqvv9Wr+f2aaW83HOP487LW79HbxQ/+OpbPxz+OulJiB8BuewAAAABJRU5ErkJggg==","""אחלה שירות יצא מדהים!"""
"הודיה בלס צלמת","· צלם","5.0","(23)","מעל 5 שנות פעילות · ירושלים ·","050-948-8476","https://hodayabp.business.site/?utm_source=gmb&utm_medium=referral","אתר","https://www.google.com/search?rlz=1C1GCEB_enIL1036IL1036&tbs=lf:1,lf_ui:14&tbm=lcl&sxsrf=AJOqlzVxb3R_ROXhtanuhno2wE0By_AV1A:1674028956093&q=%D7%A6%D7%9C%D7%9E%D7%99+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D&rflfq=1&num=10&sa=X&ved=2ahUKEwiG8pXq09D8AhXnVqQEHVEzDZ4QjGp6BAgbEAE&biw=1920&bih=937&dpr=1#","מסלול","הודיה בלס צלמת","פתוח 24 שעות","5.0","(23)","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAwCAYAAABXAvmHAAACfUlEQVR4Ae3ZJ3DjUBAGYAnGOkGjM0kPTQ+N+Vzj9KrQ9ap2hXOezoGNEg4dZOMUdL3Xdz/YK9lZj1X2pYOPKHoz+8d63am/+HCknQbQchpAwSDcgiXYgA68Jx16tkTvDByWAFVIYRNMTpvUtnoQATwI4R2Ykt5BBN5+BTgPO2CU7cJFmwFciOAXGMFXaEAA8zAKPhmlZwE06F0j+AUxuNoB+mANjGAbrlChTkY+ten2S65Bn14AufjP8AQq4BRUgSfwuUsIVyNA2OV7nQVHySzsgmGisgHOC998C2rgKKtBS+gTF4sG8IRvdAfOgmNJTfgldsErEiAUvvkZcCybFfpEmDdAVZiknlgsmH/rT4TJrponQCoMlRVLxb8BA8/Y6MQ/3yRzAGFtc8Vq8QRScMhVPnhkDTDIGn6BM1aLl//LvjBjD2QJcIs1auxn8UyTvXMrS4Al1ig4iOJJwN5bzBJggzWaZ3+/DxO2iyd19u56lgAd1mgUHJLQs1cwYbN4Msbeb2cJ8J418lnx8DfEpK3iic/avFcLQF7DlKXi5QBKnxAPMa1fvPwJaXRiKcQbmFYpXqETi8NoxhAzisWLw6jmRCaH0Cu+8EQ2KGzW/ewh1IoXlxI2FnOJavEKizlpOb0DlawhFIoXl9O2NzSJTvEKGxoSCVvK2Z4hQGHB96XUlpJ4XTbYtSOxqSeXjuKxChfvw8HWnJWDLeJaPFr0IOTfPFkFV/NwdxWMYKfg4e5VamsEq1qHu1zY43i9CQHUYQx8MkbPAmj2OF6PTi84sh+Lq10xheAd1CVfwoe/jFqQaFzyaRmAW7AI69CG96RNzxZ1r1lPL7pPA5wG+A1WN9X/YeJQUwAAAABJRU5ErkJggg==","השירותים המוצעים:"
